2026-07-21 20:06:18  INFO     === reconstruct_walls started ===
2026-07-21 20:06:18  INFO     input:  data\parsed.json
2026-07-21 20:06:18  INFO     output: data\output.json
2026-07-21 20:06:18  INFO     tolerance: 10.00 mm
2026-07-21 20:06:18  INFO     Loaded 759 walls, 16 doors, 0 windows
2026-07-21 20:06:50  DEBUG      snap wall 23E endpoint (75817.338,-246923.976) -> (75817.337,-246923.334)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 23F endpoint (75817.338,-246923.976) -> (75817.337,-246923.334)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 23F endpoint (75817.269,-246623.976) -> (75817.304,-246652.381)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 240 endpoint (75817.269,-246623.976) -> (75817.304,-246652.381)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 242 endpoint (81417.337,-246922.696) -> (81417.337,-246922.055)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 243 endpoint (81417.337,-246922.696) -> (81417.337,-246922.055)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 243 endpoint (81417.269,-246622.696) -> (81417.304,-246651.102)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 244 endpoint (81417.269,-246622.696) -> (81417.304,-246651.102)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 246 endpoint (84217.337,-246922.057) -> (84217.337,-246921.415)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 247 endpoint (84217.337,-246922.057) -> (84217.337,-246921.415)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 247 endpoint (84217.269,-246622.057) -> (84217.304,-246650.464)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 248 endpoint (84217.269,-246622.057) -> (84217.304,-246650.464)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 24A endpoint (87017.337,-246921.417) -> (87017.337,-246920.775)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 24B endpoint (87017.337,-246921.417) -> (87017.337,-246920.775)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 24B endpoint (87017.269,-246621.417) -> (87017.304,-246649.822)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 24C endpoint (87017.269,-246621.417) -> (87017.304,-246649.822)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 250 endpoint (93772.346,-246919.874) -> (93772.345,-246919.236)  dist=0.637 mm
2026-07-21 20:06:50  DEBUG      snap wall 251 endpoint (93772.346,-246919.874) -> (93772.345,-246919.236)  dist=0.637 mm
2026-07-21 20:06:50  DEBUG      snap wall 251 endpoint (93772.277,-246619.874) -> (93807.357,-246619.865)  dist=35.080 mm
2026-07-21 20:06:50  DEBUG      snap wall 252 endpoint (93772.277,-246619.874) -> (93807.357,-246619.865)  dist=35.080 mm
2026-07-21 20:06:50  DEBUG      snap wall 254 endpoint (95702.346,-246919.433) -> (95702.345,-246918.795)  dist=0.637 mm
2026-07-21 20:06:50  DEBUG      snap wall 255 endpoint (103017.351,-246917.761) -> (103017.351,-246917.120)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 256 endpoint (103017.351,-246917.761) -> (103017.351,-246917.120)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 256 endpoint (103017.282,-246617.761) -> (103017.315,-246646.169)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 257 endpoint (103017.282,-246617.761) -> (103017.315,-246646.169)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 257 endpoint (95702.277,-246619.433) -> (95702.283,-246647.840)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 258 endpoint (95702.277,-246619.433) -> (95702.283,-246647.840)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 258 endpoint (95702.346,-246919.433) -> (95702.345,-246918.795)  dist=0.637 mm
2026-07-21 20:06:50  DEBUG      snap wall 259 endpoint (108617.351,-246916.482) -> (108617.351,-246915.840)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 25A endpoint (108617.351,-246916.482) -> (108617.351,-246915.840)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 25A endpoint (108617.282,-246616.482) -> (108617.315,-246644.887)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 25B endpoint (108617.282,-246616.482) -> (108617.315,-246644.887)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 25D endpoint (111417.351,-246915.842) -> (111417.351,-246915.201)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 25E endpoint (111417.351,-246915.842) -> (111417.351,-246915.201)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 25E endpoint (111417.282,-246615.842) -> (111417.315,-246644.247)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 25F endpoint (111417.282,-246615.842) -> (111417.315,-246644.247)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 261 endpoint (117017.351,-246914.562) -> (117017.350,-246913.921)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 262 endpoint (117017.351,-246914.562) -> (117017.350,-246913.921)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 262 endpoint (117017.282,-246614.562) -> (117017.315,-246642.968)  dist=28.406 mm
2026-07-21 20:06:50  DEBUG      snap wall 263 endpoint (117017.282,-246614.562) -> (117017.315,-246642.968)  dist=28.406 mm
2026-07-21 20:06:50  DEBUG      snap wall 265 endpoint (119817.351,-246913.923) -> (119817.350,-246913.281)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 266 endpoint (119817.351,-246913.923) -> (119817.350,-246913.281)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 266 endpoint (119817.282,-246613.923) -> (119817.315,-246642.328)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 267 endpoint (119817.282,-246613.923) -> (119817.315,-246642.328)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 269 endpoint (122717.350,-246913.260) -> (122717.350,-246912.613)  dist=0.647 mm
